artifact_type,artifact_id,total_dependencies,aggregate_score,speed_metric,average_popularity_metric,average_freshness_metric,normalized_speed_metric,normalized_popularity_metric,normalized_freshness_metric
Framework,cn.xiaoandcai:json-diff-core,26,0.1407521427,0.04431599229,1.6,10.54166667,0.07633699891,0.000533148055,0.06388199575
Framework,org.webjars.npm:angular__core,22,0.2409190335,0.02376729337,0,33,0.04094061205,0,0.1999784215
Framework,org.twitter4j:twitter4j-core,168,0.1281342045,0.008210890233,14.27272727,18.02564103,0.01414375909,0.00475592299,0.1092345224
Framework,org.jgrapht:jgrapht-core,46,0.07129044058,0.003795620438,105.6666667,4.875,0.006538187644,0.03520998613,0.02954226681
Framework,com.google.guava:guava,561,1.0766557,0.02487562189,2005.4375,60.32374101,0.04284977551,0.668246939,0.365558985
Framework,com.avast.grpc:grpc-json-bridge-core_2.13,236,0.05613155265,0.01128472222,1,6,0.01943862212,0.0003332175344,0.036359713
Framework,org.springframework.amqp:spring-amqp,1609,0.5950298936,0.03731028668,10.33333333,87.01675978,0.06426924381,0.003443247855,0.5273174019
Framework,com.bluecirclesoft.open:json-interface-generator-core,197,0.09454516235,0.01021152443,1.8,12.6,0.01758997349,0.0005997915618,0.07635539729
Framework,com.fasterxml.jackson.core:jackson-annotations,131,0.9136796842,0.03407079646,1183.596774,76.00645161,0.05868902439,0.3943951988,0.4605954611
Framework,ant:ant-apache-bcel,0,0,0,0,0,0,0,0
Framework,com.adobe.acs:acs-aem-commons,0,0.2075975332,0.03256704981,0,25,0.05609872909,0,0.1514988042
Framework,aws.sdk.kotlin:aws-core,744,1.437762626,0.2650273224,316.7692308,144.5034247,0.456525723,0.105553062,0.8756838413
Library,com.azure.android:azure-core-jackson,50,0.04826363875,0.01029962547,0.6666666667,5,0.01774173289,0.0002221450229,0.03029976083
Library,aws.sdk.kotlin:aws-core-jvm,1101,1.475535882,0.2650273224,305.8518519,151.3369963,0.456525723,0.1019152,0.9170949588
Library,com.slack.api:bolt,1609,0.5267886735,0.0796836983,4.666666667,64.02255639,0.1372600291,0.00155501516,0.3879736293
Library,com.slack.api:bolt-aws-lambda,1688,0.5311569199,0.0796836983,0,65,0.1372600291,0,0.3938968908
Library,com.azure:azure-core-http-jdk-httpclient,148,0.09682313526,0.03205128205,12.55555556,6.176470588,0.05521028768,0.004183731265,0.03742911632
Library,ch.exense.step:step-functions-docker-handler,133,0.1353358786,0.05211726384,0.3333333333,7.5,0.08977516485,0.0001110725115,0.04544964125
Library,com.adobe.acs:acs-aem-commons-bundle,3290,0.6325477633,0.09961685824,0.5,76.03773585,0.1715961125,0.0001666087672,0.4607850421
Library,com.adobe.testing:s3mock-docker,105,0.273777603,0.05490549055,1,29.51612903,0.09457805536,0.0003332175344,0.1788663301
