artifact_id,total_releases,aggregate_score,popularity_metrics,freshness_metrics,speed_metric,average_popularity_metric
"""org.mozilla.iot:webthing""",17,0.008073270014,[0.0],[0],0.02306648575,0.0
"""org.mozilla.deepspeech:libdeepspeech""",71,0,[0],[0],0,0.0
"""org.mozilla.taskcluster:taskcluster-client""",306,0.05262252794,[0],[0],0.2631126397,0.0
"""org.codehaus.groovy.modules.remote:remote-core""",5,0.8014814815,"[0.0, 2.0]",[0],0.007407407407,1.0
"""org.codehaus.groovy.modules.http-builder:http-builder""",9,23.20105018,"[0.0, 3.0, 51.0, 4.0]",[0],0.005250875146,14.5
"""org.jetbrains.kotlin-wrappers:kotlin-actions-toolkit""",328,0.1161061947,[0],[0],0.5805309735,0.0
"""org.scala-lang.modules:scala-collection-compat_3""",10,952.8018744,"[113.0, 641.0, 36.0, 178.0, 0.0, 9.0, 2.0, 22.0, 1381.0]",[0],0.009372071228,264.6666666666667
"""org.scala-lang.modules:scala-collection-compat_2.11""",34,41.20314524,"[0, 14.0, 16.0, 10.0, 8.0, 2.0, 6.0, 37.0, 4.0]",[0],0.01572617946,10.777777777777779
"""com.twitter:util-core_2.12""",69,53.60507913,"[0, 60.0, 59.0, 7.0, 2.0, 3.0, 1.0]",[0],0.02539565697,18.857142857142858
"""com.google.collections:google-collections""",8,37.20357942,"[0.0, 93.0]",[0],0.01789709172,46.5
"""org.codehaus.plexus.redback.old:redback-common-jdo""",4,0.004938271605,[0.0],[0],0.02469135802,0.0
"""org.codehaus.plexus.redback.old:redback-keys-jdo""",4,0.004938271605,[0.0],[0],0.02469135802,0.0
"""com.adobe.testing:s3mock-docker""",61,11.2109811,"[0.0, 2.0]",[0],0.05490549055,1.0
"""com.adobe.acs:acs-aem-commons-bundle""",156,17.61992337,"[0, 4.0, 2.0]",[0],0.09961685824,2.0
"""ch.exense.step:step-functions-docker-handler""",16,6.410423453,[1.0],[0],0.05211726384,1.0
"""com.azure:azure-core-http-jdk-httpclient""",15,45.20641026,"[0, 19.0, 2.0, 49.0, 26.0, 17.0]",[0],0.03205128205,18.833333333333332
"""com.slack.api:bolt-aws-lambda""",131,0.01593673966,[0.0],[0],0.0796836983,0.0
"""com.slack.api:bolt""",131,117.6159367,"[0.0, 12.0, 11.0, 4.0, 1.0]",[0],0.0796836983,5.6
"""aws.sdk.kotlin:aws-core-jvm""",291,31868.85301,"[0, 385.0, 384.0, 388.0, 387.0, 386.0, 383.0, 380.0, 382.0, 381.0, 378.0, 379.0, 359.0, 361.0, 360.0, 375.0, 373.0, 368.0, 372.0, 367.0, 376.0, 377.0, 357.0]",[0],0.2650273224,359.04347826086956
"""com.azure.android:azure-core-jackson""",11,1.602059925,"[2.0, 0]",[0],0.01029962547,1.0
"""aws.sdk.kotlin:aws-core""",291,31762.85301,"[0, 387.0, 386.0, 384.0, 385.0, 382.0, 383.0, 381.0, 377.0, 379.0, 378.0, 358.0, 359.0, 360.0, 380.0, 376.0, 375.0, 374.0, 367.0, 366.0, 371.0, 372.0, 356.0]",[0],0.2650273224,358.0869565217391
"""com.adobe.acs:acs-aem-commons""",51,0.006513409962,[0],[0],0.03256704981,0.0
"""ant:ant-apache-bcel""",4,0,[0],[0],0,0.0
